,m2_construit,nb_pieces,prix_achat,prix_achat_m2,travaux_necessaire,jardin,piscine,terrace,balcon,salle_rangement,espace_vert,parking,num_quartier,type_appartement,type_duplex,type_maison,type_penthouse,nom_quartier
72,115,3,233789,2033,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
73,115,3,230789,2007,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
74,117,3,244171,2087,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
75,117,3,243468,2081,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
76,117,3,244798,2092,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
77,118,3,219235,1858,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
78,115,3,242789,2111,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
79,97,4,130000,1340,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
80,106,3,251569,2373,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
81,103,3,235402,2285,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
82,103,3,235172,2283,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
83,103,3,236227,2293,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
84,114,3,254710,2234,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
85,150,2,159000,1060,True,False,False,True,False,True,False,True,21,False,False,True,False,Barajas
86,140,3,272500,1946,False,False,True,True,False,True,True,False,21,False,True,False,False,Barajas
87,58,3,85000,1466,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
88,65,3,94000,1446,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
89,110,4,175000,1591,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
90,173,4,268000,1549,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
91,75,2,156000,2080,False,False,False,True,False,True,False,False,21,False,False,False,True,Barajas
92,90,1,183159,2035,False,False,True,True,False,True,False,True,21,False,False,False,True,Barajas
93,125,3,210000,1680,False,False,False,False,False,True,False,True,21,True,False,False,False,Barajas
94,58,2,85000,1466,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
95,92,3,159900,1738,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
96,70,2,117000,1671,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
97,54,2,110000,2037,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
98,52,2,100000,1923,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
99,108,3,140000,1296,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
100,65,2,106500,1638,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
101,102,3,127500,1250,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
102,80,2,148000,1850,False,False,False,True,False,True,True,True,21,True,False,False,False,Barajas
103,108,2,205000,1898,False,False,True,True,False,True,False,True,21,False,True,False,False,Barajas
104,80,3,220000,2750,False,False,True,False,False,False,True,True,21,True,False,False,False,Barajas
105,16,3,114000,7125,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
106,54,2,89900,1665,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
107,70,2,210000,3000,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
108,99,2,145000,1465,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
109,123,4,275000,2236,False,False,False,True,False,False,True,False,21,True,False,False,False,Barajas
110,64,3,104000,1625,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
111,107,3,228629,2137,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
112,76,2,169021,2224,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
113,109,3,223022,2046,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
114,108,3,220072,2038,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
115,103,3,235718,2289,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
116,103,3,245000,2379,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
117,143,3,260000,1818,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
118,99,3,235000,2374,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
119,100,3,235000,2350,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
120,176,2,265000,1506,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
121,87,2,190000,2184,False,False,True,False,False,True,False,True,21,True,False,False,False,Barajas
122,106,3,256115,2416,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
123,113,3,261989,2318,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
124,115,3,273353,2377,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
125,129,3,297621,2307,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
126,115,3,279778,2433,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
127,110,2,135000,1227,True,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
128,90,3,195000,2167,False,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
129,60,2,126900,2115,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
130,54,2,136400,2526,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
131,80,3,145000,1812,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
132,73,2,127500,1747,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
133,122,3,179000,1467,False,False,False,False,False,False,False,True,21,True,False,False,False,Barajas
134,98,3,266122,2716,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
135,97,3,261989,2701,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
136,111,3,297621,2681,False,False,True,True,False,True,True,True,21,False,False,False,True,Barajas
137,99,3,251569,2541,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
138,77,3,113500,1474,True,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
139,85,3,138000,1624,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
140,90,3,225000,2500,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
141,133,2,264000,1985,False,False,True,True,True,True,True,True,21,True,False,False,False,Barajas
142,60,3,98260,1638,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
143,133,3,275000,2068,False,False,True,True,False,True,False,False,21,True,False,False,False,Barajas
144,85,2,124000,1459,False,False,False,False,True,False,False,False,21,True,False,False,False,Barajas
145,59,2,164513,2788,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
146,59,2,164416,2787,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
147,58,2,165435,2852,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
148,79,3,202629,2565,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
149,60,2,164242,2737,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
150,121,3,260000,2149,False,False,True,True,True,True,True,True,21,True,False,False,False,Barajas
151,126,3,294900,2340,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
152,134,4,319900,2387,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
153,111,3,259900,2341,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
154,122,3,285900,2343,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
155,125,3,289900,2319,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
156,102,2,249900,2450,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
157,104,3,273352,2628,False,False,True,True,False,True,True,True,21,True,False,False,False,Barajas
158,66,3,104900,1589,False,False,False,True,False,False,False,False,21,True,False,False,False,Barajas
159,95,2,155000,1632,False,False,False,True,True,False,False,False,21,True,False,False,False,Barajas
160,74,3,100000,1351,False,False,False,False,False,False,False,False,21,True,False,False,False,Barajas
161,97,2,210000,2165,False,False,True,True,False,True,False,True,21,True,False,False,False,Barajas
162,90,2,240000,2667,False,False,True,False,False,True,False,True,21,False,False,False,True,Barajas
163,130,4,257000,1977,False,False,True,True,False,False,True,False,21,True,False,False,False,Barajas
164,49,2,84000,1714,False,False,False,False,False,False,True,False,21,True,False,False,False,Barajas
165,151,3,314000,2079,False,False,True,False,False,True,True,True,21,True,False,False,False,Barajas
166,69,3,107000,1551,False,False,False,True,False,True,False,False,21,True,False,False,False,Barajas
